subj_idx,RC,rt,MC,LT,JP,AD,Volume,response
8,B,2.63858456269008,2,W,R,34,33,0
8,B,2.24227593666365,5,Y,L,80,90,1
8,B,0.856896313433026,4,W,R,34,67,1
8,B,1.68708349607914,5,W,L,80,10,0
8,B,1.1036234714411,4,W,L,34,33,0
8,B,1.06314845416637,4,Y,R,34,33,0
8,B,1.35800078117973,4,W,R,34,67,1
8,B,1.87398702040082,2,Y,R,34,67,1
8,B,1.97599134693337,5,Y,R,80,10,0
8,B,2.47230868611587,1,Y,R,80,90,1
8,B,1.44567256557275,5,Y,L,80,90,1
8,B,1.49363819367318,4,W,L,34,33,0
8,B,1.51160682630689,1,Y,L,80,10,0
8,B,1.95834419974199,1,W,L,80,90,1
8,B,1.79487876693747,1,Y,L,80,10,0
8,B,1.30714328636168,5,W,R,80,90,1
8,B,0.653088663881135,1,W,L,80,90,1
8,B,2.12444250818771,5,Y,R,80,10,0
8,B,1.20380704864328,1,Y,L,80,10,0
8,B,2.12092299372125,5,W,L,80,10,0
8,B,1.40971757353509,2,Y,L,34,33,0
8,B,2.18865006159285,2,Y,R,34,67,1
8,B,2.179971757354,1,W,R,80,10,0
8,B,1.34861821350205,2,Y,L,34,33,0
8,B,0.813671844483906,4,Y,L,34,67,1
8,B,1.38147612895591,5,Y,L,80,90,1
8,B,1.17653066129787,2,Y,L,34,33,0
8,B,2.32139470600669,4,W,L,34,33,0
8,B,1.21141964366143,4,Y,R,34,33,0
8,B,0.879885527145234,1,Y,L,80,10,0
8,B,1.31466995162737,2,Y,L,34,33,0
8,B,1.87604993540299,4,W,L,34,33,0
8,B,0.897536880689586,4,W,L,34,33,0
8,B,1.29374094883133,4,W,L,34,33,0
8,B,0.903534236698761,2,Y,L,34,33,0
8,B,1.47300483730396,1,Y,L,80,10,0
8,B,1.2196520746329,5,W,L,80,10,0
8,B,0.97107622509975,4,W,L,34,33,0
8,B,0.942352251900957,5,Y,L,80,90,1
8,B,1.28725956193921,2,W,R,34,33,0
8,B,2.58807138779594,2,W,R,34,33,0
8,B,1.1721882041893,2,Y,L,34,33,0
8,B,0.770033350358062,2,Y,L,34,33,0
8,B,0.870067602079871,2,W,R,34,33,0
9,B,0.553154763692874,2,W,L,34,67,1
9,B,0.410673316708198,4,W,R,34,67,1
9,B,0.57030405912883,4,W,R,34,67,1
9,B,0.321608629030379,1,Y,R,80,90,1
9,B,0.419685725445561,5,Y,L,80,90,1
9,B,0.510099149715643,1,Y,R,80,90,1
9,B,0.712302376588923,5,W,R,80,90,1
9,B,0.652990715981105,2,Y,R,34,67,1
9,B,0.469752125709419,2,W,L,34,67,1
9,B,0.45768500435679,2,Y,R,34,67,1
9,B,0.519606706126069,5,Y,L,80,90,1
9,B,0.752955562899842,1,W,L,80,90,1
9,B,0.474239401495652,2,W,L,34,67,1
9,B,0.42649731093934,2,Y,R,34,67,1
9,B,0.519837154102788,1,W,L,80,90,1
9,B,0.544320824445094,2,W,L,34,67,1
9,B,0.546532163567463,5,W,R,80,90,1
9,B,0.41221614638107,4,W,R,34,67,1
9,B,0.486727158008762,5,W,R,80,90,1
9,B,0.453357569930631,5,Y,L,80,90,1
9,B,0.424598143195908,4,W,R,34,67,1
9,B,0.442140732506232,4,Y,L,34,67,1
9,B,0.74156536369901,2,Y,R,34,67,1
9,B,0.671008623020498,2,W,L,34,67,1
9,B,0.429446564312457,4,Y,L,34,67,1
9,B,0.522375086380634,5,Y,L,80,90,1
9,B,0.419113661629126,1,W,L,80,90,1
9,B,0.408839647868263,4,W,R,34,67,1
9,B,0.411403719616828,5,Y,L,80,90,1
9,B,0.593500585884613,4,Y,L,34,67,1
9,B,0.586268064777869,5,Y,L,80,90,1
9,B,0.523412252501657,5,W,R,80,90,1
9,B,0.419299342006525,5,W,R,80,90,1
9,B,0.527456659556265,1,W,L,80,90,1
9,B,0.604005648529892,1,Y,R,80,90,1
9,B,0.436768019710144,4,Y,L,34,67,1
9,B,0.524850524291651,4,Y,L,34,67,1
9,B,0.608058768741103,4,Y,L,34,67,1
9,B,0.458043746056319,4,Y,L,34,67,1
9,B,0.536214884475157,2,W,L,34,67,1
9,B,0.540015623590989,4,Y,L,34,67,1
9,B,0.674739957335987,5,W,R,80,90,1
9,B,0.528458973049055,1,W,L,80,90,1
9,B,0.555510921491077,5,Y,L,80,90,1
9,B,0.539411411230503,4,Y,L,34,67,1
10,B,2.99836973830486,4,W,L,34,33,0
10,B,0.778382056905912,4,Y,R,34,33,0
10,B,0.81898026019303,5,W,R,80,90,1
10,B,0.636093501186679,5,Y,L,80,90,1
10,B,0.808979358831948,2,Y,L,34,33,0
10,B,1.72795661448777,2,W,L,34,67,1
10,B,1.39490490640878,2,Y,L,34,33,0
10,B,1.25340263798353,5,W,R,80,90,1
10,B,0.671371871525935,1,Y,R,80,90,1
10,B,0.636794760087696,2,W,L,34,67,1
10,B,1.13627437430523,5,Y,L,80,90,1
10,B,0.539555028092536,1,W,L,80,90,1
10,B,0.619733798034986,2,Y,L,34,33,0
10,B,1.17304029083903,4,Y,L,34,67,1
10,B,0.5108295526245,5,Y,L,80,90,1
10,B,0.685966709731701,4,W,L,34,33,0
10,B,1.57926388847159,1,W,R,80,10,0
10,B,0.903150557341405,5,Y,R,80,10,0
10,B,0.729809812817393,4,Y,R,34,33,0
10,B,0.575910825346227,2,W,L,34,67,1
10,B,1.78014391731517,2,Y,L,34,33,0
10,B,0.536428507045684,2,W,L,34,67,1
10,B,0.627168824925775,5,W,L,80,10,0
10,B,1.70402157257467,5,W,L,80,10,0
10,B,0.656625604663077,4,W,L,34,33,0
10,B,0.603104587927646,1,Y,L,80,10,0
10,B,1.03665324640201,1,W,R,80,10,0
10,B,0.879427936183674,4,W,L,34,33,0
10,B,0.741100862302119,5,Y,R,80,10,0
10,B,0.708490220232761,5,W,L,80,10,0
10,B,0.636308025118069,2,Y,R,34,67,1
10,B,0.560325391340939,5,W,L,80,10,0
10,B,0.613419162936225,4,W,L,34,33,0
10,B,0.558848961932654,2,W,L,34,67,1
10,B,0.771229456479432,5,W,L,80,10,0
10,B,0.553096475678103,2,W,L,34,67,1
10,B,1.25406754198821,2,W,R,34,33,0
10,B,1.85400715079732,1,Y,L,80,10,0
10,B,0.786225400354397,2,W,L,34,67,1
10,B,0.839052068623459,2,Y,L,34,33,0
10,B,1.52008532884656,4,Y,L,34,67,1
10,B,1.33681008322583,2,Y,L,34,33,0
10,B,0.540874019769944,2,W,R,34,33,0
10,B,1.76412703181813,1,Y,L,80,10,0
11,B,1.58733167082391,1,W,L,80,90,1
11,B,1.0538109545414,4,Y,L,34,67,1
11,B,1.47930625244226,4,Y,R,34,33,0
11,B,1.20489499143696,5,W,R,80,90,1
11,B,0.802981101462137,4,W,L,34,33,0
11,B,1.28885076465485,4,W,L,34,33,0
11,B,1.33693236787622,2,Y,R,34,67,1
11,B,0.924049214314437,2,W,R,34,33,0
11,B,1.5476050836769,5,Y,L,80,90,1
11,B,0.746450139711669,4,W,R,34,67,1
11,B,0.869752125709056,4,W,L,34,33,0
11,B,1.20259712165353,4,W,L,34,33,0
11,B,1.32338581257682,4,Y,R,34,33,0
11,B,0.803095874769497,4,Y,L,34,67,1
11,B,0.740697653456664,5,W,R,80,90,1
11,B,0.752770483428321,5,Y,R,80,10,0
11,B,1.00870594597836,5,W,L,80,10,0
11,B,1.18608418712211,4,Y,R,34,33,0
11,B,1.3951807228932,5,Y,R,80,10,0
11,B,0.736257849352114,1,Y,R,80,90,1
11,B,1.68186040921682,5,W,L,80,10,0
11,B,1.18659075203504,4,Y,R,34,33,0
11,B,0.724269446865947,5,Y,L,80,90,1
11,B,1.16985217678666,2,Y,R,34,67,1
11,B,0.708376348286038,2,Y,R,34,67,1
11,B,1.8539095033484,2,W,R,34,33,0
11,B,0.969399993991829,1,W,L,80,90,1
11,B,1.09550611423219,5,W,L,80,10,0
11,B,0.819034642310726,2,W,L,34,67,1
11,B,0.760342517200115,1,W,R,80,10,0
11,B,0.775131748940112,2,Y,R,34,67,1
11,B,0.694522729321761,2,W,R,34,33,0
11,B,0.746942583300552,1,W,R,80,10,0
11,B,0.744733647807152,2,Y,L,34,33,0
11,B,0.638937295316282,5,W,R,80,90,1
11,B,0.596366914040118,5,W,L,80,10,0
11,B,0.728933088965277,4,W,L,34,33,0
11,B,0.707501727609269,5,Y,R,80,10,0
11,B,1.24581858606325,5,W,L,80,10,0
11,B,0.78827539584745,1,W,L,80,90,1
11,B,0.743862332121353,1,W,R,80,10,0
11,B,0.70472793918816,4,Y,R,34,33,0
11,B,0.886459153320175,1,W,L,80,90,1
11,B,0.778405792747435,2,W,L,34,67,1
11,B,1.37213322116258,5,W,R,80,90,1
11,B,0.938642850705946,5,Y,R,80,10,0
11,B,0.912654808760635,5,Y,R,80,10,0
11,B,0.71922603130588,2,Y,R,34,67,1
11,B,0.744372202025261,1,Y,L,80,10,0
11,B,0.663846107623613,1,Y,L,80,10,0
11,B,0.612006429708345,2,Y,R,34,67,1
11,B,0.89371210527861,1,W,R,80,10,0
11,B,1.43726647237236,5,W,R,80,90,1
11,B,0.636750593397664,4,W,L,34,33,0
11,B,1.19617252050739,4,Y,R,34,33,0
12,B,0.903926028302749,5,W,R,80,90,1
12,B,1.05340474115911,4,W,R,34,67,1
