subj_idx,RC,rt,MC,LT,JP,AD,Volume,response
5,R,1.61462187903732,4,Y,L,34,67,1
5,R,1.85617883003334,2,Y,R,34,67,1
5,R,1.32046089595286,4,Y,L,34,67,1
5,R,1.90355076165008,2,W,L,34,67,1
5,R,0.887202776191998,5,W,R,80,90,1
5,R,1.00566926058355,5,Y,L,80,90,1
5,R,1.37565814379718,1,W,L,80,90,1
5,R,0.845289186671948,2,Y,R,34,67,1
5,R,0.890240963855376,4,W,R,34,67,1
5,R,0.870790193191738,5,Y,L,80,90,1
5,R,0.691009824835533,5,W,R,80,90,1
5,R,1.30415978126962,2,Y,R,34,67,1
5,R,0.836474176005822,1,W,L,80,90,1
5,R,2.09388336387951,4,Y,L,34,67,1
5,R,0.819942613346257,2,Y,R,34,67,1
5,R,0.86023134933771,4,Y,L,34,67,1
5,R,0.736353093170692,1,Y,R,80,90,1
5,R,0.844036595258785,1,W,L,80,90,1
5,R,1.5037106030104,4,Y,L,34,67,1
5,R,0.760645374515434,4,Y,L,34,67,1
5,R,0.762345641919183,1,Y,R,80,90,1
5,R,0.957649550821543,5,Y,L,80,90,1
5,R,1.27629450470226,4,W,R,34,67,1
5,R,0.688716461857439,4,W,R,34,67,1
5,R,0.912077937686036,5,Y,L,80,90,1
5,R,0.56997896824214,4,W,R,34,67,1
5,R,0.653409247964419,1,W,L,80,90,1
5,R,0.604224378811978,4,Y,L,34,67,1
5,R,0.642932728419964,4,W,R,34,67,1
5,R,0.603103686566783,2,Y,R,34,67,1
5,R,1.04308716161404,2,W,L,34,67,1
5,R,0.997657663071095,2,W,L,34,67,1
5,R,0.777759216416825,4,Y,L,34,67,1
5,R,1.03650602409652,2,W,L,34,67,1
5,R,0.677371631162941,1,W,L,80,90,1
5,R,0.803309196887312,5,W,R,80,90,1
5,R,0.820037857164607,5,W,R,80,90,1
5,R,0.706888501637422,4,W,R,34,67,1
5,R,0.759195385031489,2,W,L,34,67,1
5,R,1.06968872998232,5,Y,L,80,90,1
5,R,0.696709731695137,2,Y,R,34,67,1
6,R,1.07965327644743,5,Y,L,80,90,1
6,R,0.607972238079497,5,Y,L,80,90,1
6,R,0.786077276687806,1,W,L,80,90,1
6,R,0.902941742030464,1,W,L,80,90,1
6,R,0.814402547847265,1,Y,R,80,90,1
6,R,0.66325872066821,2,Y,R,34,67,1
6,R,0.743765886488603,2,W,L,34,67,1
6,R,0.763127422407848,4,Y,L,34,67,1
6,R,1.22703602439682,4,W,R,34,67,1
6,R,0.808944506204369,2,W,L,34,67,1
6,R,0.744352972989191,1,Y,R,80,90,1
